Type;ESRP-3;
Version;3.46 SP1;
Date;13.Jul 21;
Mode;ANALYZER;
Center Freq;42426406.871193;Hz
Freq Offset;0.000000;Hz
Span;191000000.000000;Hz
x-Axis;LOG;
Start;9000000.000000;Hz
Stop;200000000.000000;Hz
Ref Level;106.000000;dBµV
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.020000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 4:;;
x-Unit;Hz;
y-Unit;dBµV;
Preamplifier;OFF;
Transducer;OFF;
Values;8001;
9000000;71.403594970703125;71.403594970703125
9003489.4056548402;71.558761596679688;71.558761596679688
9006980.1641932148;71.711212158203125;71.711212158203125
9010472.2761396542;71.861030578613281;71.861030578613281
9013965.7420188915;72.00830078125;72.00830078125
9017460.5623558611;72.153121948242188;72.153121948242188
9020956.7376757022;72.295578002929687;72.295578002929687
9024454.2685037591;72.452239990234375;72.452239990234375
9027953.155365577;72.608291625976562;72.608291625976562
9031453.3987869043;72.761581420898437;72.761581420898437
9034954.999293698;72.912208557128906;72.912208557128906
9038457.9574121162;73.060272216796875;73.060272216796875
9041962.2736685164;73.205856323242187;73.205856323242187
9045467.9485894702;73.353469848632813;73.353469848632813
9048974.9827017467;73.499946594238281;73.499946594238281
9052483.3765323162;73.643997192382812;73.643997192382812
9055993.1306083612;73.785690307617187;73.785690307617187
9059504.2454572655;73.92510986328125;73.92510986328125
9063016.7216066141;74.062332153320313;74.062332153320313
9066530.5595842004;74.207473754882813;74.207473754882813
9070045.759918021;74.355575561523438;74.355575561523438
9073562.3231362775;74.501190185546875;74.501190185546875
9077080.2497673761;74.644393920898437;74.644393920898437
9080599.5403399281;74.785293579101563;74.785293579101563
9084120.1953827497;74.923934936523438;74.923934936523438
9087642.2154248618;75.062934875488281;75.062934875488281
9091165.6009954885;75.201950073242188;75.201950073242188
9094690.3526240662;75.338775634765625;75.338775634765625
9098216.4708402287;75.473480224609375;75.473480224609375
9101743.9561738167;75.606124877929688;75.606124877929688
9105272.8091548812;75.736778259277344;75.736778259277344
9108803.0303136706;75.872993469238281;75.872993469238281
9112334.6201806478;76.017494201660156;76.017494201660156
9115867.5792864766;76.159622192382813;76.159622192382813
9119401.9081620239;76.299476623535156;76.299476623535156
9122937.607338367;76.437103271484375;76.437103271484375
9126474.6773467883;76.572586059570313;76.572586059570313
9130013.118718775;76.706703186035156;76.706703186035156
9133552.9319860209;76.840415954589844;76.840415954589844
9137094.1176804267;76.972099304199219;76.972099304199219
9140636.676334098;77.101821899414063;77.101821899414063
9144180.6084793434;77.229637145996094;77.229637145996094
