Type;ESRP-3;
Version;3.46 SP1;
Date;29.Jun 21;
Mode;ANALYZER;
Center Freq;173205080.756888;Hz
Freq Offset;0.000000;Hz
Span;970000000.000000;Hz
x-Axis;LOG;
Start;30000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;120.000000;dBµV
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;9000.000000;Hz
VBW;100000.000000;Hz
SWT;27.700000;s
Trace Mode;AVERAGE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBµV;
Preamplifier;OFF;
Transducer;OFF;
Values;8001;
30000000;22.216171264648438;4.1683349609375
30013152.474398933;21.865829467773438;2.2111358642578125
30026310.715050634;22.604141235351563;4.0878372192382812
30039474.724483106;22.815216064453125;1.0857009887695313
30052644.505225476;21.368133544921875;0.6996307373046875
30065820.059807986;21.229324340820313;0.7601318359375
30079001.390761971;22.372512817382812;1.6376724243164063
30092188.500619888;21.799835205078125;6.7826766967773437
30105381.391915306;20.041168212890625;-0.28072357177734375
30118580.06718288;21.09649658203125;-4.1018295288085938
30131784.52895841;20.825050354003906;4.8982315063476562
30144994.77977879;21.416961669921875;-4.8540725708007812
30158210.822182022;21.979957580566406;6.019134521484375
30171432.658707235;20.58453369140625;-0.5984039306640625
30184660.291894667;21.982192993164063;2.2877197265625
30197893.724285655;20.566680908203125;-2.7430343627929687
30211132.958422668;19.535842895507813;-3.6619644165039062
30224377.996849284;20.369163513183594;3.1306304931640625
30237628.842110198;22.520675659179688;7.129058837890625
30250885.496751212;21.58306884765625;2.3726654052734375
30264147.963319249;20.069595336914063;3.9462051391601562
30277416.244362347;21.010307312011719;3.8270111083984375
30290690.342429683;22.027275085449219;2.97772216796875
30303970.260071505;20.936676025390625;-2.5071868896484375
30317255.999839231;21.761520385742188;5.6582183837890625
30330547.564285357;21.198249816894531;-0.71669769287109375
30343844.955963526;20.973129272460938;2.8834762573242187
30357148.177428473;21.392601013183594;-4.0496139526367187
30370457.231236085;22.553794860839844;5.867034912109375
30383772.119943347;20.505264282226562;3.0196990966796875
30397092.846108366;20.943336486816406;2.0857162475585937
30410419.412290387;20.566513061523437;2.3517990112304687
30423751.82104975;22.1524658203125;4.5627288818359375
30437090.074947946;21.792251586914063;3.7136459350585938
30450434.176547579;20.687644958496094;-0.4074859619140625
30463784.128412358;21.437736511230469;5.1370086669921875
30477139.933107149;21.221992492675781;0.09418487548828125
30490501.593197908;20.754203796386719;2.8310699462890625
30503869.111251753;20.789138793945313;1.4316635131835937
30517242.489836894;20.827865600585938;8.8057174682617187
30530621.731522679;22.012550354003906;4.9569168090820313
30544006.838879596;22.371734619140625;-0.255645751953125
30557397.814479236;20.942947387695313;0.19495391845703125
30570794.660894338;20.132087707519531;1.8059463500976563
30584197.380698755;20.486160278320313;5.28369140625
30597605.976467472;20.292625427246094;3.0539093017578125
30611020.450776618;21.730499267578125;4.8445510864257812
30624440.806203417;22.25396728515625;1.8820266723632812
30637867.045326259;20.63079833984375;-1.8779144287109375
30651299.170724649;20.781990051269531;1.0512924194335937
30664737.184979219;21.209587097167969;-9.3570404052734375
30678181.090671737;21.849159240722656;2.5540008544921875
30691630.890385099;21.167228698730469;1.0435791015625
30705086.586703341;22.195320129394531;2.1282958984375
30718548.182211637;22.246513366699219;5.7879791259765625
30732015.679496266;21.519363403320313;-0.18524169921875
30745489.081144676;20.847503662109375;3.078826904296875
30758968.389745429;21.422653198242187;1.2310943603515625
30772453.607888218;21.689338684082031;-0.1409454345703125
30785944.738163892;20.445877075195313;-5.9353790283203125
30799441.783164416;18.963973999023438;-5.369354248046875
30812944.745482903;21.175773620605469;1.7768096923828125
30826453.627713595;19.954399108886719;-1.78094482421875
30839968.43245187;20.516860961914063;4.0923004150390625
30853489.162294269;21.408699035644531;-3.706390380859375
30867015.819838431;21.550056457519531;-0.39783477783203125
30880548.40768316;21.147361755371094;1.4330673217773438
30894086.928428397;22.030250549316406;1.1965103149414062
30907631.384675223;20.391731262207031;1.8059310913085937
30921181.779025845;21.286041259765625;-0.2216339111328125
30934738.114083625;21.832015991210937;-1.60491943359375
30948300.392453067;20.165702819824219;-0.7977294921875
30961868.61673981;21.862136840820313;3.6541748046875
30975442.78955064;20.803756713867188;1.2497711181640625
30989022.913493481;21.178268432617188;2.1592864990234375
31002608.991177402;22.542259216308594;2.0287094116210937
31016201.025212623;21.450927734375;3.0769195556640625
31029799.0182105;21.377655029296875;0.56713104248046875
31043402.972783539;22.317489624023438;3.4898223876953125
31057012.891545389;22.451187133789063;7.6735458374023437
31070628.777110834;22.2562255859375;-3.84735107421875
31084250.632095825;21.291587829589844;-1.6466064453125
31097878.459117446;21.397262573242187;0.46828460693359375
31111512.260793939;21.446929931640625;4.7549591064453125
31125152.039744683;21.759193420410156;1.1901092529296875
31138797.798590206;21.396430969238281;3.8760604858398438
31152449.539952189;21.582611083984375;1.8814010620117187
31166107.266453471;20.793258666992188;0.646636962890625
31179770.980718017;21.261604309082031;6.1515426635742188
31193440.685370971;20.847084045410156;-0.27294158935546875
31207116.383038606;20.78460693359375;1.6729660034179687
31220798.076348353;22.225677490234375;-0.270233154296875
31234485.767928805;21.123062133789063;-0.3271026611328125
31248179.460409693;20.668983459472656;-0.36040496826171875
31261879.156421904;22.035697937011719;8.3438796997070312
31275584.858597483;21.492408752441406;7.08526611328125
31289296.569569632;21.850387573242188;5.2128372192382812
31303014.291972697;21.218231201171875;5.3700637817382813
31316738.028442189;20.950164794921875;5.09808349609375
31330467.781614762;20.685226440429688;7.34136962890625
31344203.554128237;19.965217590332031;-0.30962371826171875
31357945.348621596;20.264846801757813;3.3631820678710937
31371693.167734958;21.942916870117188;3.5533828735351562
31385447.014109623;21.380699157714844;-5.8648605346679687
31399206.890388027;22.547409057617188;5.4415512084960938
31412972.799213786;21.510169982910156;5.4862289428710938
31426744.743231654;21.33428955078125;5.5208892822265625
31440522.725087564;22.084671020507813;1.3247146606445313
31454306.747428592;24.979507446289063;3.1585693359375
31468096.812902987;25.160896301269531;3.0932998657226563
31481892.924160149;20.478981018066406;0.27188873291015625
31495695.083850652;19.819732666015625;-5.1290817260742187
31509503.294626214;20.740203857421875;1.2312774658203125
31523317.559139743;21.158111572265625;-2.530181884765625
31537137.88004528;21.311042785644531;6.1037139892578125
31550964.259998046;20.864219665527344;3.0054092407226563
31564796.701654423;20.659652709960938;3.8765487670898437
31578635.207671963;19.563346862792969;0.90979766845703125
31592479.780709367;20.368873596191406;1.6366119384765625
31606330.423426524;21.195396423339844;2.7056808471679687
31620187.138484471;21.817886352539063;7.6450347900390625
31634049.928545419;21.0245361328125;0.9963531494140625
31647918.796272743;22.392913818359375;-1.1250076293945313
31661793.744330991;20.479270935058594;2.8507614135742187
31675674.775385883;20.356170654296875;1.9619140625
31689561.89210429;22.377235412597656;5.5828857421875
31703455.097154275;21.554405212402344;0.15866851806640625
31717354.393205039;20.871665954589844;-1.6436843872070312
31731259.782926992;21.316818237304687;2.90350341796875
31745171.26899169;20.397018432617188;0.3883209228515625
31759088.854071867;20.632247924804687;0.69451141357421875
31773012.540841423;21.020103454589844;-0.4873046875
31786942.331975434;21.703666687011719;-0.47182464599609375
31800878.230150159;22.414497375488281;3.4347915649414063
31814820.238043021;21.349006652832031;1.4063949584960937
31828768.358332604;20.537986755371094;4.5983810424804687
31842722.593698695;23.178009033203125;7.9271240234375
31856682.946822222;20.759178161621094;0.601409912109375
31870649.420385327;20.995750427246094;1.8619537353515625
31884622.017071296;19.811378479003906;-3.03729248046875
31898600.739564605;20.06103515625;1.5419921875
31912585.590550907;23.183143615722656;9.4959335327148437
31926576.572717018;21.460952758789063;-1.1882858276367187
31940573.688750964;20.9515380859375;1.9905319213867187
31954576.941341918;21.51275634765625;4.6382064819335937
31968586.333180245;20.4976806640625;5.4296188354492188
31982601.866957486;21.314384460449219;3.2251815795898437
31996623.545366365;22.720863342285156;0.04828643798828125
32010651.371100795;20.683273315429688;-2.5133056640625
32024685.346855849;21.011199951171875;-3.0556793212890625
32038725.475327801;20.489715576171875;-2.4430160522460937
32052771.759214088;21.81878662109375;3.8208770751953125
32066824.201213356;21.857284545898438;2.3753509521484375
32080882.804025412;20.602890014648438;3.6296234130859375
32094947.570351254;20.526260375976563;1.0933303833007813
32109018.50289306;21.120231628417969;0.48786163330078125
32123095.604354199;20.307655334472656;-1.8253250122070313
32137178.877439227;22.285102844238281;2.7163543701171875
32151268.324853878;20.784317016601563;-10.547462463378906
32165363.949305076;19.890907287597656;2.8776168823242187
32179465.753500927;20.164939880371094;2.1451568603515625
32193573.740150742;20.402091979980469;1.3613357543945313
32207687.911964994;21.01226806640625;-2.5512542724609375
32221808.271655362;22.016716003417969;0.62713623046875
32235934.821934704;20.61395263671875;-4.1118011474609375
32250067.565517079;21.224014282226563;4.7132415771484375
32264206.505117722;22.624717712402344;0.5195465087890625
32278351.643453073;21.358261108398438;1.5808563232421875
32292502.983240753;22.238128662109375;0.580108642578125
32306660.527199574;20.351409912109375;-5.9458084106445312
32320824.27804954;21.22613525390625;2.006744384765625
32334994.238511864;21.961311340332031;-2.5529022216796875
32349170.411308918;21.654022216796875;-4.7622146606445313
32363352.799164303;21.007110595703125;2.60247802734375
32377541.404802795;20.477561950683594;-2.7335586547851562
32391736.230950359;20.218940734863281;1.0571975708007812
32405937.280334186;21.72467041015625;-3.7514114379882813
32420144.555682618;21.900466918945313;1.0337371826171875
32434358.059725236;20.825462341308594;1.0177154541015625
32448577.795192782;20.957839965820313;0.45259857177734375
32462803.764817219;21.637405395507813;-2.3984756469726562
32477035.971331701;21.723518371582031;0.02858734130859375
32491274.417470574;20.00006103515625;1.889923095703125
32505519.105969395;21.427322387695312;-0.929595947265625
32519770.0395649;21.006721496582031;1.6826248168945313
32534027.220995057;20.504737854003906;0.60821533203125
32548290.652999006;20.545684814453125;1.4607620239257813
32562560.338317089;21.899436950683594;0.4430999755859375
32576836.27969088;20.6800537109375;-2.2386016845703125
32591118.479863107;20.631805419921875;-0.472015380859375
32605406.94157774;21.554946899414063;4.7858352661132812
32619701.667579945;21.649429321289063;6.042144775390625
32634002.660616063;20.954208374023438;0.81472015380859375
32648309.923433684;19.491523742675781;-0.6441802978515625
32662623.458781566;20.970062255859375;-0.3752593994140625
32676943.269409686;22.050132751464844;4.1054763793945313
32691269.358069234;22.605850219726562;-0.2929840087890625
32705601.727512591;22.701141357421875;-2.1081161499023438
32719940.380493354;19.903800964355469;-3.2078933715820313
32734285.319766324;19.892425537109375;2.0382080078125
32748636.548087511;20.888534545898438;7.9161605834960938
32762994.068214141;20.739570617675781;3.67633056640625
32777357.882904626;22.219970703125;2.3416519165039062
32791727.994918615;22.713760375976562;5.358001708984375
32806104.407016948;22.705650329589844;3.71368408203125
32820487.121961683;20.054840087890625;-1.0750656127929687
32834876.142516091;20.915573120117188;6.0526046752929687
32849271.471444644;21.181831359863281;1.8206329345703125
32863673.111513037;20.442268371582031;4.04864501953125
32878081.065488178;19.760871887207031;-2.6453781127929687
32892495.336138174;19.571136474609375;-2.8640594482421875
32906915.926232364;20.821075439453125;-2.1178131103515625
32921342.838541288;20.375747680664063;0.0320281982421875
32935776.075836703;21.176246643066406;-5.1064987182617187
32950215.640891585;19.516067504882812;0.69547271728515625
